title,author,year
Do kommunizma ostavalosʹ let pi͡a︡tnadt͡s︡atʹ-dvadt͡s︡atʹ,Timur Litovchenko,1996
Русистика и современность,Наталья Павловна Малютина,2014
Skuka zhizni,Антон Павлович Чехов,1999
Статьи разных лет,Владимир Викторович Федоров,2000
"Pасскази, 1887-1899",Антон Павлович Чехов,1999
Poėzii͡a,Aleksandr Sergeyevich Pushkin,1999
Esenin poems,Sergei Esenin,1985
Русистика и современность,Украина Министерство образования и науки,2010
Anti,Viktor Shlapak,1998
Персидские мотивы,Сергей Александрович Есенин,2013
Vyechyera na chumorye bliz dukanki,Николай Васильевич Гоголь,2000
Loshadinaya familiya (IN RUSSIAN),Антон Павлович Чехов,2005
Stikhotvorenii͡a,Aleksandr Sergeyevich Pushkin,1999
У меня есть ты…,Надежда Викторовна Аблятипова,2013
Это зов или ор?,Надежда Викторовна Аблятипова,2014
Пугачев,Сергей Александрович Есенин,2013
Анна Снегина,Сергей Александрович Есенин,2013
Works (Записки из Мёртвого дома / Записки изъ подполья / Село Степанчиково и его обитатели / Скверный анекдот),Фёдор Михайлович Достоевский,1998
Tri zhizni Aĭsedory Dunkan,Zinoviĭ Sagalov,1998
Преступление и наказание,Фёдор Михайлович Достоевский,1998
Бесы,Фёдор Михайлович Достоевский,1998
Братья Карамазовы,Фёдор Михайлович Достоевский,1998
Пляски судьбы,Александр Михайлович Еременко,1998
Юности честное зерцало,Виктор Владимирович Шлапак,1999
Воскресение,"Tolstoy, Leo, graf, 1828-1910",1998
Рассказы Бороды,Феликс Захарович Зинько,1997
Текст,Демьян Фаншель,2000
Цыганы,Александр Сергеевич Пушкин,1999
"Kiev. Russkai︠a︡ poėzii︠a︡, XX vek",Юрий Григорьевич Каплан,2004
Мечта,Сергей Александрович Есенин,2013
--I nashe slovo otzovetsi︠a︡,Vasilʹ Drobot,1998
Derevʹi︠a︡ detstva,Mykhaĭlo Mykhaĭlovych Krasykov,2001
Poėmy,Михаил Юрьевич Лермонтов,1976
Deti sinego flamingo (Lyubimoe chtenie),V. Krapivin,2004
Во весь логос,Михаил Яковлевич Вайскопф,1997
Sobranie sochineniĭ v odinnadt︠s︡ati tomakh,Аркадий Натанович Стругацкий,2000
Миргород,Николай Васильевич Гоголь,2000
Когда пал Херсонес,Антонин Петрович Ладинский,1998
Последний путь Владимира Мономаха,Антонин Петрович Ладинский,1998
В дни Каракаллы,Антонин Петрович Ладинский,1998
Анна Ярославна - королева Франции,Антонин Петрович Ладинский,1998
Повести и рассказы,"Tolstoy, Leo, graf, 1828-1910",1998
Из мира Дигории,Тазрет Бязров,1997
"Корректор, или Молодые годы Ли Кранца",Лео Яковлев,1997
Проза,Александр Сергеевич Пушкин,2000
Шумочка [рассказы],Антон Павлович Чехов,2004
Смерть чиновника [Рассказы],Антон Павлович Чехов,2005
Первый любовник,Антон Павлович Чехов,2003
"""Во всем виноват капитан…""",Феликс Захарович Зинько,1998
Тарас Бульба,Николай Васильевич Гоголь,2003
100 russkikh poėtov o Kieve,Риталий Зиновьевич Заславский,2001
Сто золотых лепестков,Марина Михайловна Хоменко,2012
Дама с лорнетом,Сергей Александрович Есенин,2013
Киев в русской поэзии,Инна Булкина,2012
Literacy World Fiction,Judy Waite,1998
Brave New World,Aldous Huxley,1932
The Lost World,Arthur Conan Doyle,1900
The Lost World,Michael Crichton,1995
Brave New World and Brave New World Revisited,Aldous Huxley,1942
"Danny, The Champion of the World",Roald Dahl,1975
Sofies verden,Jostein Gaarder,1991
Deathworld 1,Harry Harrison,1960
Sabriya,Ulfat Idilbi,1995
The Eye of the World,Robert Jordan,1990
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872
"Hot death, cold soup",Manjula Padmanabhan.,1996
The Magic World,Edith Nesbit,1959
Modern world fiction,Dorothy Brewster,1951
Cryptonomicon,Neal Stephenson,1999
World War Z,Max Brooks,2006
Imagining Neoliberal Globalization in Contemporary World Fiction,Michael Walonen,2018
The World Set Free,H. G. Wells,1914
The World of Ā,A. E. van Vogt,1948
Flat-World Fiction,Liliana M. Naydan,2021
The Drowned World,J. G. Ballard,1962
The Brilliant World of Tom Gates,Liz Pichon,2011
Literacy World Fiction,Anthony Masters,1998
World's Fiction,Rubenstein,1992
Man's World,Charlotte Lamb,1980
The wood beyond the world,William Morris,1894
Saving the World and Other Extreme Sports,James Patterson,1998
Contemporary world fiction,Juris Dilevko,2011
The Lost Worlds of 2001,Arthur C. Clarke,1971
Heterotopic World Fiction,Lesley Higgins,2022
World of Ptavvs,Larry Niven,1966
Rooster who set out to see the world,Eric Carle,1971
System of the World,Neal Stephenson,2003
The world Jones made,Philip K. Dick,1968
"Beautiful World, Where Are You",Sally Rooney,2021
Dead to the World,Charlaine Harris,2004
The Gate of Worlds,Robert Silverberg,1967
The inverted world,Christopher Priest,1974
The Well at the World's End,William Morris,1892
Bloomsbury Good Reading Guide World Fiction,Vincent Cassar,2008
The Greatest Salesman in the World,Og Mandino,1968
Great Science Fiction,Isaac Asimov,1985
"Scott Pilgrim vs. the world (Scott Pilgrim, Vol. 2)",Bryan Lee O'Malley,2005
A world out of time,Larry Niven,1976
Rocannon's World,Ursula K. Le Guin,1966
Hard Times,Charles Dickens,1854
Gulliver's Travels,Jonathan Swift,1726
The World of Mystery Fiction,Elliot L. Gilbert,1978
Frenzied fiction,Stephen Leacock,1917
Maître du monde,Jules Verne,1902
Popular World Fiction,Walton Beacham,1988
Literary World Fiction,Ruth Symes,1998
Brave New World Revisited,Aldous Huxley,1958
Spock's World,Diane Duane,1988
The Word for World is Forest,Ursula K. Le Guin,1972
The Complete Review guide to contemporary world fiction,M. A. Orthofer,2016
Cemetary World,Clifford D. Simak,1973
Literacy World Fiction,S. Karavis,1998
Literary World Fiction,Irene Yates,1998
Literacy World Fiction,Robina Buckles Wilson,1998
Literacy World Fiction,Margaret Dixon,1998
Literacy World Fiction,Angela:O'Neil Barry,1998
Empty world,Sam Youd,1977
Worlds Enough & Time,Dan Simmons,2002
Ancient Greek Myth in World Fiction since 1989,Justine McConnell,2016
Thieves' World,Robert Asprin,1979
Modern World Fiction,D. Brewster,1963
The most beautiful world,Rodney Hall,1981
9 From the Nine Worlds,Rick Riordan,2018
Men of Iron,Howard Pyle,1891
Masterplots II,Frank N. Magill,1986
Worlds Apart,Camilla Decarnin,1986
What's wrong with the world,Gilbert Keith Chesterton,1910
Analyzing World Fiction,Frederick Luis Aldama,2012
Witch World,Andre Norton,1963
When Worlds Collide,Philip Wylie,1932
Twisted Games,Ana Huang,2021
Dinotopia the World Beneath,Gurney,1995
Imagined worlds,Alan Freeman,2005
The Wump World,Bill Peet,1970
Gertrude (Interlink World Fiction),Hassan Najmi,2014
Leave the World Behind,Rumaan Alam,2020
A Summer Without Dawn: An Armenian Epic (Interlink World Fiction),Agop J. Hacikyan,2010
Bloomsbury Good Reading Guide to World Fiction,Vincent Cassar,2007
Fragments of Memory,Hanna Minah,2004
World Without End,Ken Follett,1961
Mockingbird,Walter S. Tevis,1979
The Illustrated Man,Ray Bradbury,1951
Expedition to Earth,Arthur C. Clarke,1953
Ramona's World,Beverly Cleary,1999
The story-shaped world,Brian Wicker,1975
Flyy girl,Omar Tyree,1993
L’étranger,Albert Camus,1942
La Peste,Albert Camus,1942
Maurice,E. M. Forster,1971
Twin of Fire/Twin of Ice,Jude Deveraux,1997
Persuasion,Jane Austen,1789
The Killer Angels,Michael Shaara,1974
The Enchanted Castle,Edith Nesbit,1907
Little Women,Louisa May Alcott,1848
Treasure Island,Robert Louis Stevenson,1880
The Secret Garden,Frances Hodgson Burnett,1911
Pride and Prejudice,Jane Austen,1813
The power of one,Bryce Courtenay,1989
The Scarlet Pimpernel,Emma Orczy,1900
Dracula,Bram Stoker,1897
Novels (Carrie / Salem's Lot / Shining),Stephen King,1984
Emma,Jane Austen,1815
Basil,Wilkie Collins,1852
The Jungle,Upton Sinclair,1707
Wuthering Heights,Emily Brontë,1846
Island,Aldous Huxley,1962
Classic Novel Collections,Classic Novel Classic Novel Collections,2015
Nineteen Eighty-Four,George Orwell,1949
The Scarlet Letter,Nathaniel Hawthorne,1800
Giovanni's Room,James Baldwin,1956
The House of God,Samuel Shem,1978
Summer,Edith Wharton,1917
Pollyanna,Eleanor Hodgman Porter,1912
Vanity Fair,William Makepeace Thackeray,1800
Middlemarch,George Eliot,1800
Bride of Pendoric,Eleanor Burford,1963
A Suitable Boy,Vikram Seth,1993
Becoming Jane Austen,Jon Spence,2006
Les Misérables,Victor Hugo,1862
Three Kingdoms,Moss Roberts,2001
Cabbagetown,Hugh Garner,1950
The Golden West,Louis L'Amour,2003
Sense and Sensibility,Jane Austen,1811
Jane Eyre,Charlotte Brontë,1847
The Poisonwood Bible,Barbara Kingsolver,1998
"Villette, a novel",Charlotte Brontë,1853
Dubliners,James Joyce,1914
Heart of Darkness Illustrated,Joseph Conrad,2019
Alas Babylon,Pat Frank,1959
The Great Gatsby,F. Scott Fitzgerald,1920
Scoop,Evelyn Waugh,1933
Obasan,Joy Kogawa,1981
Hogg,Samuel R. Delany,1994
Wet Magic,Edith Nesbit,1937
Great Expectations,Charles Dickens,1861
To the Lighthouse,Virginia Woolf,1927
Frankenstein or The Modern Prometheus,Mary Shelley,1818
20000 Leagues Under The Sea And Other Classic Novels,Jules Verne,2012
White Fang,Jack London,1905
The blue castle,Lucy Maud Montgomery,1926
Oliver Twist,Charles Dickens,1822
The Magic City,Edith Nesbit,1910
Aspects of the novel,E. M. Forster,1927
The Guide,Rasipuram Krishnaswamy Narayan,1958
Johnny Tremain,Esther Forbes,1943
The Time Machine,H. G. Wells,1895
Orlando,Virginia Woolf,1928
Post office,Charles Bukowski,1974
Hothouse,Brian W. Aldiss,1962
Maru,Bessie Head,1971
Anne of Green Gables,Lucy Maud Montgomery,1908
The Sheik,E. M. Hull,1919
The Wind in the Willows,Kenneth Grahame,1908
Siddhartha,Hermann Hesse,2015
Mansfield Park,Jane Austen,1814
Мы,Евгений Иванович Замятин,1924
Prodigal Summer Display,Barbara Kingsolver,2000
The Virgin Suicides (Bloomsbury Classic),Jeffrey Eugenides,1993
The Waves,Virginia Woolf,1931
A Tale of Two Cities,Charles Dickens,1800
The Call of the Wild,Jack London,1903
Bath Tangle,Georgette Heyer,1955
The Railway Children,Edith Nesbit,1900
Peter Pan,J. M. Barrie,1911
Ethan Frome,Edith Wharton,1910
Nervous Conditions,Tsitsi Dangarembga,1988
Blind love,Wilkie Collins,1889
American Science Fiction Four Classic Novels 19531956,Gary K. Wolfe,2012
Northanger Abbey,Jane Austen,1818
Nonsense novels,Stephen Leacock,1900
Semilla del Diablo,Ira Levin,1900
The Razor's Edge,William Somerset Maugham,1944
Classic Novel Collections,Classic Novel Collections,2015
Animal Farm,George Orwell,1945
Greenmantle,John Buchan,1915
The Moonstone,Wilkie Collins,1800
The Age of Innocence,Edith Wharton,1920
Mrs. Dalloway,Virginia Woolf,1925
The Woodlanders,Thomas Hardy,1800
Passing,Nella Larsen,1929
Beloved,Toni Morrison,1987
Trauma and survival in contemporary fiction,Laurie Vickroy,2002
Princess Ashley,Richard Peck,1987
The Novel Now,Anthony Burgess,1967
Pricksongs and Descants,Robert Coover,1969
Review of Contemporary Fiction,John O'Brien,2008
Black water,Joyce Carol Oates,1992
Queer Disappearance in Modern and Contemporary Fiction,Benjamin Bateman,2023
Dream with no name,Esteban Rios Rivera,1999
Contemporary Fiction,Jago Morrison,2003
The Norton anthology of contemporary fiction -- second edition,R. V. Cassill,1997
The Norton anthology of contemporary fiction,R. V. Cassill,1988
Review of Contemporary Fiction,David Markson,2005
Invisible Planets,Ken Liu,2016
Half a Revolution,Masha Gessen,1995
Introduction to Contemporary Fiction,Rod Mengham,1999
Le Guin and identity in contemporary fiction,Bernard Selinger,1988
The Wounded Hero in Contemporary Fiction,Susana Onega,2018
Leviathan,Paul Auster,1992
Reading Theories In Contemporary Fiction,Lisa McNally,2013
Contemporary fiction and the fairy tale,Stephen Benson,2008
The Emmaus readers,Gary D. Schmidt,2008
The homosexual as hero in contemporary fiction,Stephen D. Adams,1980
Dancer from the Dance,Andrew Holleran,1978
The unresolvable plot,Elizabeth Dipple,1988
Diseases and Disorders in Contemporary Fiction,James Peacock,2013
None Other Gods,Robert Hugh Benson,1800
Literary music,Stephen Benson,2006
Breaking the fall,Robert Detweiler,1989
The modern novel,Elizabeth A. Drew,1926
Hatchet Jobs,Dale Peck,2004
Psychoanalytic Perspectives on Women and Power in Contemporary Fiction,Rossella Valdrè,2017
The Return Of The Storyteller In Contemporary Fiction,Areti Dragas,2013
Push,Sapphire,1996
Contemporary fiction,Pamela Bickley,2008
Narrative fiction,Shlomith Rimmon-Kenan,1983
The Review of Contemporary Fiction (Fall 1999),John O'Brien,2000
And We Sold the Rain,Rosario Santos,1988
Christine Brooke-Rose and contemporary fiction,Sarah Birch,1994
The new Midwest,Mark Athitakis,2016
Contemporary Fiction,Lex Williford,1999
Figuring the woman author in contemporary fiction,Mary Eagleton,2005
Shakespeare and Contemporary Fiction,Barbara L. Estrin,2011
Literature and the contemporary,Roger Luckhurst,1999
Linden Hills,Gloria Naylor,1985
A love of reading,Robert Adams,2001
"Sex, Time, and Space in Contemporary Fiction",Ben Davies,2016
Contemporary fiction writers of the South,Joseph M. Flora,1993
Contemporary Fiction in French,Anna-Louise Milne,2021
America in contemporary fiction,Percy Holmes Boynton,1940
Review of Contemporary Fiction,Alex Andriesse,2018
Time and reality,Margaret Church,1962
Reading Contingency,David Wylot,2019
Review of Contemporary Fiction,Italo Calvino,2002
Review of Contemporary Fiction,Kazuo Ishiguro,2005
Postmodernism and contemporary fiction,Edmund J. Smyth,1991
Contemporary Fictions of Attention,Alice Bennett,2018
America in contemporary fiction,Percy H. Boynton,1940
Contemporary fiction by Filipinos in America,Cecilia Manguerra Brainard,1998
Vital lines,Jon Mukand,1990
The Awakening,Kate Chopin,1899
"Review of Contemporary Fiction : XXIII, #2",Rick Moody,2003
Atlantic Afterlives in Contemporary Fiction,S. Ahlberg,2016
The new novel in America,Helen Weinberg,1970
Contemporary Fictions of Multiculturalism,Michael Perfect,2014
The postmodern fairy tale,Kevin Paul Smith,2007
The Scribner Anthology of Contemporary Short Fiction,Michael Martone,1999
Critical Modesty in Contemporary Fiction,Thom Dancer,2021
Contemporary Fictions,Judie Newman,2020
The failure of theory,Patrick Parrinder,1987
The Colonial Fortune in Contemporary Fiction in French,Oana Panaïté,2017
Present Tense Narration in Contemporary Fiction,Irmtraud Huber,2016
The picaresque saint,R. W. B. Lewis,1958
Afterlife and Narrative in Contemporary Fiction,Alice Bennett,2012
Stylistic Manipulation of the Reader in Contemporary Fiction,Sandrine Sorlin,2019
Strange Narrators in Contemporary Fiction,Marco Caracciolo,2016
Belles' letters,Joe Taylor,1999
Where Grace Appears,Heidi Chiavaroli,2021
Review of Contemporary Fiction Fall 2007,John O'Brien,2007
Contemporary Fiction A Very Short Introduction,Robert Eaglestone,2013
"Review of Contemporary Fiction Vol. XXIV, No. 1",John O'Brien,2004
Contemporary Fiction and Christianity,Andrew Tate,2010
Women in Political Theory,Diana H. Coole,1987
Just Be Gorgeous (A Laurel-Leaf Contemporary Fiction),Barbara Wersba,1991
Blueback,Tim Winton,1958
Contemporary Fiction and Climate Uncertainty,Marco Caracciolo,2022
Henry James in Contemporary Fiction,Bethany Layne,2020
Contemporary fiction,Maurice M. Custodio,1976
Technological Unconscious in Contemporary Fiction in English,Piotr Czerwi&#324;ski,2023
Rereading heterosexuality,Rachel Carroll,2012
The deluge,Henryk Sienkiewicz,1888
The healers,Ayi Kwei Armah,1978
Ogniem i mieczem,Henryk Sienkiewicz,1890
Pan Michael  An historical novel,Henryk Sienkiewicz,1893
The Brides Of Chance Collection The Chance Brothers Journey Into Romance In Six Historical Novels,Kelly Eileen Hake,2013
Owen Glendower,John Cowper Powys,1940
Történelmi regény,György Lukács,1962
The Persian Boy,Mary Renault,1972
The Egyptian (The Greatest Historical Novels),Mika Waltari,1985
The historical novel,György Lukács,1962
Fairoaks,Frank Yerby,1957
"Judas, my brother",Frank Yerby,1968
The hangman's daughter,Oliver Pötzsch,2008
Sir Nigel,Arthur Conan Doyle,1906
The marrow of tradition,Charles Waddell Chesnutt,1901
The loyalists,Jane West,1812
The golden hawk,Frank Yerby,1948
Caballero,Jovita González Mireles,1996
Jerusalem,Selma Lagerlöf,2008
Romance of the three kingdoms,Luo Guanzhong,1644
The Dahomean,Frank Yerby,1971
The Manningtree Witches,A. K. Blakemore,2021
Henty's Historical Novel,Cyndi Kinney,2012
A guide to the best historical novels and tales,Jonathan Nield,1902
On the Field of Glory an Historical Novel of the Time of King John Sobieski,Henryk Sienkiewicz,1906
The Capsina: An Historical Novel,E. F. Benson,1899
Under the hog,Patrick Carleton,1938
Three Kingdoms,Luo Guanzhong,1999
Bridal veil,Cathy Marie Hake,2009
Ponniyin Selvan : Tamil Historical Novel,Kalki R Krishnamurthy,2017
Romola,George Eliot,2018
Olympiad,Tom Holt,2000
Fire from Heaven,Mary Renault,1969
Remember Me,Kimberley Comeaux,2006
Damaris,Jane Sheridan,1978
Nurjahan,Jyoti Jafa,1978
The Historical Novel And Other Essays,Brander Matthews,1901
A promise made,Janet Lee Barton,2003
No buttons or beaux,Cathy Marie Hake,2009
The historical novel,Brander Matthews,1901
Hermitage among the clouds,Thích Nhất Hạnh,1982
Lady's Maid,Margaret Forster,1990
What historical novel do I read next?,Daniel S. Burt,1997
The woman's historical novel,Diana Wallace,2005
The Spanish Daughter,Lorena Hughes,2021
The American historical novel,Ernest Erwin Leisy,1950
Memoirs of the warrior Kumagai,Donald Richie,1999
White River Brides,Frances Devine,2014
The merchant of Berlin,Luise Mühlbach,1866
Redeeming Love,Francine Rivers,1991
An Egyptian Princess,Georg Ebers,1800
Wolf Hall,Hilary Mantel,2009
Making amends,Janet Lee Barton,2005
Historical Novel,Jerome De Groot,2009
A Ripple In Time,Victor Zugg,2019
The historical novel,GyForgy LukGacs,1963
Clouds above the Hill,Shiba Ryōtarō,2013
Gujarātano nātha,Kanaiyalal Maneklal Munshi,1952
Imperium,"Harris, Robert",2006
The English historical novel,Avrom Fleishman,1971
The Knights Of The Cross Or Krzyzacy,Henryk Sienkiewicz,1897
The Arctic Fury,Greer Macallister,2020
Latin America's new historical novel,Seymour Menton,1993
The triumph of the Scarlet Pimpernel,Emma Orczy,1922
Prince Eugene and his times,Luise Mühlbach,1868
Atonement,Ian McEwan,2001
The historical novel,Sir Herbert Butterfield,1924
Julian,Gore Vidal,1964
Lonesome Dove,Larry McMurtry,1985
Historical novels,"Cam, Helen Maud",1961
NARACH | Bengali Historical Novel | নারাচ l Bangla Upanyas,Debaroti Mukhopadhyay,2020
The Poppy War,R. F. Kuang,2018
Shōgun,James Clavell,1975
The Terror,Dan Simmons,2007
Daisy Jones & The Six,Taylor Jenkins Reid,2019
The Second Mrs. Astor,Shana Abe,2021
A Kingdom's Cost,J. R. Tomlin,2011
The Palace of Illusions,Chitra Banerjee Divakaruni,2008
The Historical Novel,Jerome de Groot,2009
Clarinda ; A Historical Novel,A. Madhaviah,2005
"Clarinda, a historical novel",A. Madhaviah,1992
The Flight of the Heron,Historical Novel,2021
Abeniki Caldwell,Carolyn Wells,1902
By What Authority?,Robert Hugh Benson,1904
Der jüdische Krieg,Lion Feuchtwanger,1932
Pandora,Susan Stokes-Chapman,2022
Regency brides,Kimberley Comeaux,2005
San Antone,Victor J. Banis,1985
The Teutonic Knights,Henryk Sienkiewicz,1996
Maine,Carol Mason Parker,1994
Marwood Historical Novel 6,Andrew Taylor,2023
Lazarus,David Fischer,2022
Great Sf Heinlein Bxs,Robert A. Heinlein,1980
The Science Fiction Hall of Fame -- Volume One,Robert Silverberg,1970
To your scattered bodies go,Philip José Farmer,1971
Slan,A. E. van Vogt,1946
Foundation,Isaac Asimov,1951
Wild seed,Octavia E. Butler,1980
Gold,Isaac Asimov,1995
The Foundation Trilogy,Isaac Asimov,1950
100 Great Science Fiction Short Short Stories,Isaac Asimov,1978
Blood Music,Greg Bear,1985
Earthlight,Arthur C. Clarke,1955
The language of the night,Ursula K. Le Guin,1979
Nightwings,Robert Silverberg,1969
